epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2053.24,1.57224,1.2626,1.37434,0.91174,0.67544,0.76341,0.43573,1.67464,1.32961,1.59094,0.0004358,0.0004358,0.0004358
81,2077.83,1.52914,1.2104,1.36238,0.90579,0.67692,0.76328,0.43178,1.70256,1.36643,1.61778,0.000416,0.000416,0.000416
82,2103.06,1.54737,1.2698,1.36877,0.95003,0.65769,0.76213,0.43112,1.72212,1.36515,1.6299,0.0003962,0.0003962,0.0003962
83,2129.44,1.56905,1.26727,1.36513,0.89842,0.66923,0.76046,0.42922,1.71115,1.40086,1.61518,0.0003764,0.0003764,0.0003764
84,2155.11,1.54299,1.27285,1.35481,0.89584,0.68462,0.75294,0.42814,1.72923,1.37186,1.62971,0.0003566,0.0003566,0.0003566
85,2180.05,1.52204,1.24648,1.34692,0.92202,0.67308,0.75168,0.43341,1.72539,1.36834,1.62959,0.0003368,0.0003368,0.0003368
86,2204.9,1.55866,1.25068,1.3545,0.94066,0.68846,0.77049,0.42953,1.73234,1.34691,1.62367,0.000317,0.000317,0.000317
87,2231.18,1.58006,1.2943,1.38634,0.91893,0.69231,0.77161,0.43569,1.72566,1.32743,1.61917,0.0002972,0.0002972,0.0002972
88,2256.64,1.53336,1.23053,1.34321,0.89467,0.68607,0.76524,0.43584,1.71874,1.35372,1.61338,0.0002774,0.0002774,0.0002774
89,2282.47,1.51703,1.24167,1.33867,0.88448,0.68462,0.75531,0.43185,1.71564,1.36157,1.60661,0.0002576,0.0002576,0.0002576
90,2307.44,1.54766,1.24507,1.37368,0.88768,0.6687,0.75383,0.43195,1.71326,1.37862,1.61464,0.0002378,0.0002378,0.0002378
91,2333.19,1.39004,1.02644,1.30327,0.85123,0.66923,0.73635,0.41893,1.71583,1.35725,1.60431,0.000218,0.000218,0.000218
92,2356.15,1.39141,1.01597,1.29514,0.85977,0.66027,0.73565,0.41417,1.71376,1.38654,1.61023,0.0001982,0.0001982,0.0001982
93,2376.91,1.36741,0.9956,1.29811,0.86578,0.66538,0.73923,0.42305,1.71255,1.36206,1.60157,0.0001784,0.0001784,0.0001784
94,2399.88,1.37016,0.96213,1.28759,0.88505,0.65153,0.74719,0.42389,1.71525,1.35869,1.60232,0.0001586,0.0001586,0.0001586
95,2422.06,1.37728,0.97647,1.29477,0.87904,0.66154,0.74734,0.42082,1.71922,1.36031,1.60005,0.0001388,0.0001388,0.0001388
96,2443.92,1.36129,0.93475,1.27573,0.88454,0.66923,0.74755,0.42415,1.72012,1.36111,1.59634,0.000119,0.000119,0.000119
97,2466.27,1.36229,0.94232,1.27508,0.88892,0.66538,0.74578,0.42757,1.71615,1.36761,1.59215,9.92e-05,9.92e-05,9.92e-05
98,2487.37,1.32934,0.90717,1.26703,0.90065,0.66538,0.74679,0.42829,1.71487,1.36035,1.5921,7.94e-05,7.94e-05,7.94e-05
99,2510.47,1.37385,0.95088,1.2817,0.89378,0.66923,0.74653,0.42929,1.70194,1.35113,1.58372,5.96e-05,5.96e-05,5.96e-05
100,2531.88,1.32798,0.92027,1.25732,0.89207,0.67692,0.74548,0.4275,1.7062,1.34016,1.58622,3.98e-05,3.98e-05,3.98e-05
