epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2243.58,1.42375,0.90067,1.06156,0.86729,0.62308,0.68577,0.38078,1.81842,1.52195,1.7553,0.00479067,0.00479067,0.00479067
79,2271.92,1.41631,0.88982,1.0613,0.88981,0.59231,0.69381,0.38213,1.87374,1.50623,1.83347,0.0046861,0.0046861,0.0046861
80,2300.65,1.4607,0.92104,1.08075,0.89783,0.54078,0.65047,0.37638,1.88711,1.59997,1.78694,0.00458166,0.00458166,0.00458166
81,2329.67,1.43025,0.88687,1.05827,0.85569,0.60769,0.67062,0.36961,1.85589,1.5158,1.76129,0.00447741,0.00447741,0.00447741
82,2357.18,1.43817,0.89086,1.04981,0.91287,0.62692,0.69704,0.38972,1.83307,1.47319,1.73611,0.00437339,0.00437339,0.00437339
83,2386.43,1.4317,0.88539,1.0556,0.89977,0.58694,0.68507,0.37772,1.85075,1.55317,1.77158,0.00426964,0.00426964,0.00426964
84,2416.07,1.41973,0.8815,1.0464,0.83464,0.56538,0.6371,0.36765,1.84899,1.68863,1.78176,0.00416621,0.00416621,0.00416621
85,2445.92,1.43111,0.87998,1.0568,0.88965,0.58462,0.67543,0.37507,1.85691,1.52975,1.75535,0.00406315,0.00406315,0.00406315
86,2474.42,1.40178,0.87161,1.04676,0.84102,0.61042,0.66325,0.3633,1.90324,1.51987,1.76296,0.0039605,0.0039605,0.0039605
87,2504.22,1.40068,0.87619,1.04237,0.88295,0.61923,0.67585,0.37246,1.83532,1.49009,1.7638,0.00385831,0.00385831,0.00385831
88,2533.92,1.40325,0.85957,1.0496,0.89193,0.60311,0.65457,0.36164,1.77735,1.50048,1.74009,0.00375661,0.00375661,0.00375661
89,2562.06,1.39467,0.85512,1.0414,0.81404,0.58926,0.63248,0.34635,1.86312,1.52845,1.77957,0.00365546,0.00365546,0.00365546
90,2591.6,1.39191,0.85146,1.03513,0.83588,0.59615,0.65577,0.3532,1.96689,1.48063,1.84374,0.00355491,0.00355491,0.00355491
91,2622.86,1.38919,0.84426,1.03934,0.83211,0.57187,0.64227,0.35377,1.88354,1.57558,1.78929,0.00345498,0.00345498,0.00345498
92,2652.43,1.39729,0.85722,1.03852,0.88155,0.60111,0.6775,0.36205,1.88728,1.5236,1.78902,0.00335573,0.00335573,0.00335573
93,2681.31,1.36321,0.83627,1.03892,0.852,0.59784,0.6589,0.36591,1.85884,1.46017,1.77514,0.00325721,0.00325721,0.00325721
94,2710.12,1.38617,0.86336,1.04229,0.85018,0.59231,0.65924,0.37493,1.88645,1.60288,1.79204,0.00315945,0.00315945,0.00315945
95,2739.33,1.3696,0.83976,1.03038,0.8435,0.60769,0.66795,0.37244,1.88062,1.55393,1.76626,0.00306249,0.00306249,0.00306249
96,2768.16,1.37847,0.84042,1.03155,0.89104,0.56154,0.65367,0.37196,1.84994,1.65137,1.76091,0.00296639,0.00296639,0.00296639
97,2796.59,1.35598,0.81506,1.0229,0.84526,0.56726,0.63512,0.37224,1.90029,1.70154,1.799,0.00287117,0.00287117,0.00287117
98,2825.68,1.37603,0.82314,1.02503,0.92048,0.57879,0.66159,0.38942,1.86621,1.61244,1.78032,0.0027769,0.0027769,0.0027769
99,2854.51,1.34856,0.82045,1.02269,0.91299,0.57308,0.66893,0.38833,1.83197,1.65119,1.71726,0.00268359,0.00268359,0.00268359
100,2884.03,1.32884,0.80681,1.02263,0.84916,0.61538,0.67592,0.3815,1.81234,1.55731,1.7244,0.00259131,0.00259131,0.00259131
101,2911.71,1.35149,0.81478,1.02284,0.85041,0.59231,0.64981,0.3705,1.85223,1.66782,1.74294,0.00250007,0.00250007,0.00250007
102,2940.62,1.3399,0.81324,1.02118,0.81055,0.61923,0.65609,0.37607,1.90248,1.56509,1.78178,0.00240994,0.00240994,0.00240994
103,2968.51,1.33289,0.8017,1.01903,0.87535,0.59423,0.66524,0.38943,1.79797,1.57542,1.75498,0.00232094,0.00232094,0.00232094
104,2997.1,1.34026,0.79668,1.01619,0.8565,0.64276,0.69461,0.38452,1.85412,1.45478,1.79072,0.00223312,0.00223312,0.00223312
105,3026.51,1.36276,0.82556,1.02372,0.83479,0.59615,0.67136,0.37332,1.85899,1.65048,1.77716,0.00214651,0.00214651,0.00214651
106,3055.13,1.32642,0.795,1.0104,0.85263,0.60385,0.67812,0.37642,1.85812,1.53676,1.76355,0.00206115,0.00206115,0.00206115
107,3085.75,1.33687,0.81106,1.01447,0.87643,0.54558,0.63338,0.36359,1.86819,1.66038,1.77196,0.00197708,0.00197708,0.00197708
108,3115.96,1.31751,0.80941,1.00897,0.86438,0.58835,0.66306,0.38538,1.82472,1.57872,1.7322,0.00189434,0.00189434,0.00189434
109,3143.62,1.34788,0.80701,1.01199,0.89493,0.58846,0.67389,0.38481,1.84056,1.64385,1.74875,0.00181296,0.00181296,0.00181296
110,3174.27,1.31417,0.7848,1.01453,0.79984,0.64615,0.6768,0.38258,1.87278,1.53819,1.80297,0.00173298,0.00173298,0.00173298
111,3203.85,1.31883,0.78832,1.0128,0.84919,0.63077,0.69943,0.39537,1.80859,1.54492,1.72795,0.00165443,0.00165443,0.00165443
112,3233.43,1.3005,0.77747,1.00502,0.9496,0.56923,0.67972,0.38805,1.85027,1.56744,1.77013,0.00157735,0.00157735,0.00157735
113,3262.2,1.31552,0.78241,1.01317,0.86589,0.64564,0.70092,0.39993,1.86351,1.53922,1.76875,0.00150177,0.00150177,0.00150177
114,3291.94,1.32831,0.78493,1.01162,0.87284,0.61538,0.68699,0.39019,1.81805,1.52723,1.74632,0.00142772,0.00142772,0.00142772
115,3321.98,1.32323,0.78263,1.01099,0.82039,0.62692,0.67107,0.39231,1.8444,1.60643,1.79512,0.00135524,0.00135524,0.00135524
116,3350.77,1.30092,0.76676,1.00344,0.88458,0.61538,0.69666,0.39919,1.81614,1.54343,1.76579,0.00128436,0.00128436,0.00128436
117,3378.97,1.31046,0.77739,1.00393,0.81902,0.6266,0.66233,0.38276,1.85359,1.5541,1.80535,0.00121511,0.00121511,0.00121511
118,3407.38,1.31524,0.78098,1.01025,0.86161,0.60769,0.672,0.38785,1.82252,1.56648,1.7685,0.00114752,0.00114752,0.00114752
119,3437.03,1.29824,0.7649,1.00411,0.86937,0.61538,0.6916,0.40539,1.75821,1.51865,1.71568,0.00108162,0.00108162,0.00108162
120,3467.11,1.26608,0.74841,0.98958,0.81097,0.61055,0.6773,0.40146,1.78012,1.55781,1.73522,0.00101744,0.00101744,0.00101744
121,3496.2,1.28467,0.76727,0.99723,0.84228,0.64231,0.68393,0.3903,1.78154,1.56168,1.75006,0.000955005,0.000955005,0.000955005
122,3524.72,1.29201,0.76215,1.00132,0.84447,0.61538,0.69073,0.39117,1.83127,1.58024,1.78958,0.000894345,0.000894345,0.000894345
123,3552.34,1.28953,0.76236,0.99213,0.83213,0.60385,0.68372,0.39305,1.79335,1.55922,1.76368,0.000835485,0.000835485,0.000835485
124,3581.59,1.26299,0.74683,0.98847,0.81117,0.63846,0.67959,0.38098,1.79066,1.58162,1.753,0.000778453,0.000778453,0.000778453
125,3610.63,1.28063,0.76732,1.00678,0.87418,0.61465,0.69022,0.39053,1.76496,1.55517,1.74533,0.000723271,0.000723271,0.000723271
