epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2184.75,1.71936,1.22154,1.16536,0.69786,0.46972,0.49875,0.24615,1.67524,1.14667,1.28935,0.0008516,0.0008516,0.0008516
60,2221.32,1.74675,1.26777,1.17924,0.70831,0.45967,0.49371,0.24445,1.66585,1.13577,1.28335,0.0008318,0.0008318,0.0008318
61,2256.03,1.74824,1.23558,1.16672,0.70035,0.47431,0.49947,0.24675,1.67911,1.13348,1.29246,0.000812,0.000812,0.000812
62,2292.65,1.72118,1.21534,1.15816,0.69293,0.46652,0.49529,0.24851,1.67502,1.13404,1.29622,0.0007922,0.0007922,0.0007922
63,2328.71,1.7553,1.24111,1.1687,0.69654,0.46746,0.49901,0.24942,1.65573,1.12686,1.27653,0.0007724,0.0007724,0.0007724
64,2365.26,1.71248,1.20953,1.15358,0.69885,0.47711,0.50089,0.25034,1.67264,1.12551,1.28854,0.0007526,0.0007526,0.0007526
65,2400.36,1.75808,1.23305,1.1521,0.69798,0.47711,0.49751,0.24845,1.67129,1.1222,1.28453,0.0007328,0.0007328,0.0007328
66,2438.65,1.69502,1.19338,1.14501,0.68927,0.48085,0.49888,0.24986,1.64124,1.12121,1.27251,0.000713,0.000713,0.000713
67,2475.91,1.73637,1.21583,1.16055,0.68886,0.48402,0.5005,0.24826,1.67131,1.10991,1.28746,0.0006932,0.0006932,0.0006932
68,2511.24,1.71702,1.2028,1.14994,0.68772,0.48421,0.50124,0.24657,1.67936,1.10765,1.2964,0.0006734,0.0006734,0.0006734
69,2547.82,1.73525,1.21982,1.15691,0.68061,0.48303,0.50019,0.25136,1.65318,1.11914,1.28701,0.0006536,0.0006536,0.0006536
70,2583.5,1.71624,1.19724,1.15343,0.68882,0.48325,0.50709,0.25356,1.67405,1.11287,1.29187,0.0006338,0.0006338,0.0006338
71,2620.53,1.7214,1.21041,1.15721,0.69507,0.47742,0.50624,0.25365,1.64172,1.10948,1.2722,0.000614,0.000614,0.000614
72,2656.48,1.72211,1.23912,1.1691,0.69161,0.49175,0.50843,0.25385,1.63385,1.09824,1.26414,0.0005942,0.0005942,0.0005942
73,2693.11,1.72228,1.19712,1.15661,0.70126,0.47804,0.50696,0.25422,1.64704,1.1062,1.27254,0.0005744,0.0005744,0.0005744
74,2728.06,1.7132,1.19206,1.15027,0.69205,0.47586,0.50536,0.25486,1.63801,1.11567,1.26601,0.0005546,0.0005546,0.0005546
75,2765.71,1.70251,1.21507,1.16241,0.69533,0.48272,0.50329,0.25394,1.65677,1.13282,1.27902,0.0005348,0.0005348,0.0005348
76,2801.44,1.725,1.21282,1.15075,0.70218,0.4877,0.5064,0.25242,1.64822,1.11751,1.26764,0.000515,0.000515,0.000515
77,2837.52,1.73067,1.23765,1.16873,0.69348,0.47649,0.5038,0.25381,1.63878,1.1212,1.26195,0.0004952,0.0004952,0.0004952
78,2873.68,1.68436,1.19213,1.14409,0.69941,0.47609,0.50771,0.25462,1.63789,1.11663,1.26879,0.0004754,0.0004754,0.0004754
79,2909.44,1.72156,1.1966,1.1495,0.69283,0.48209,0.50721,0.25621,1.63462,1.09309,1.26481,0.0004556,0.0004556,0.0004556
80,2946.89,1.69732,1.19318,1.15353,0.69253,0.4849,0.5073,0.25488,1.64005,1.09813,1.26962,0.0004358,0.0004358,0.0004358
81,2982.66,1.67329,1.15834,1.13695,0.69943,0.48178,0.50483,0.25502,1.63412,1.09697,1.26447,0.000416,0.000416,0.000416
82,3019.42,1.68558,1.17787,1.14176,0.69131,0.4877,0.50912,0.25714,1.63256,1.09357,1.25949,0.0003962,0.0003962,0.0003962
83,3054.75,1.70282,1.20112,1.15815,0.7024,0.48396,0.51133,0.258,1.63044,1.09463,1.26232,0.0003764,0.0003764,0.0003764
84,3092.53,1.69518,1.18568,1.1448,0.70365,0.48458,0.50818,0.25835,1.63641,1.09206,1.26482,0.0003566,0.0003566,0.0003566
85,3134.02,1.69325,1.19089,1.13539,0.70617,0.47978,0.50757,0.25724,1.62971,1.09741,1.26214,0.0003368,0.0003368,0.0003368
86,3169.24,1.70565,1.20115,1.14551,0.70376,0.48427,0.50852,0.2571,1.63986,1.09124,1.2655,0.000317,0.000317,0.000317
87,3206.92,1.66037,1.16827,1.13947,0.69426,0.48371,0.50729,0.25601,1.63545,1.09557,1.26567,0.0002972,0.0002972,0.0002972
88,3242.18,1.67164,1.16977,1.13823,0.69713,0.48334,0.5083,0.25791,1.63281,1.10035,1.26327,0.0002774,0.0002774,0.0002774
89,3279.17,1.69285,1.17941,1.1412,0.70402,0.48365,0.51147,0.25882,1.63687,1.08902,1.26752,0.0002576,0.0002576,0.0002576
90,3316.05,1.6969,1.19053,1.1473,0.68744,0.48458,0.50523,0.25606,1.63229,1.09494,1.26487,0.0002378,0.0002378,0.0002378
91,3351.24,1.58434,1.11904,1.13316,0.69248,0.4796,0.50183,0.25091,1.656,1.11991,1.27973,0.000218,0.000218,0.000218
92,3382.45,1.55141,1.05351,1.12297,0.68972,0.48583,0.50692,0.25536,1.64452,1.11237,1.27651,0.0001982,0.0001982,0.0001982
93,3413.8,1.51654,1.02516,1.1113,0.7012,0.4787,0.50691,0.25578,1.64033,1.10947,1.27411,0.0001784,0.0001784,0.0001784
94,3445.19,1.53503,1.03046,1.11308,0.70547,0.4804,0.50865,0.25858,1.64279,1.10439,1.27967,0.0001586,0.0001586,0.0001586
95,3477.52,1.54297,1.02502,1.11769,0.71038,0.47991,0.50805,0.25782,1.64542,1.10719,1.27986,0.0001388,0.0001388,0.0001388
96,3509.08,1.53636,1.03844,1.12199,0.70664,0.47486,0.50691,0.25744,1.64271,1.10823,1.27856,0.000119,0.000119,0.000119
97,3540.13,1.52838,1.01409,1.11062,0.70553,0.4783,0.5066,0.25908,1.63155,1.10492,1.27071,9.92e-05,9.92e-05,9.92e-05
98,3571.97,1.53825,1.01367,1.11642,0.70498,0.48116,0.50653,0.25861,1.63582,1.10833,1.2728,7.94e-05,7.94e-05,7.94e-05
99,3604.39,1.53763,1.02726,1.11545,0.70548,0.48116,0.50579,0.25706,1.63899,1.10638,1.27679,5.96e-05,5.96e-05,5.96e-05
100,3634.74,1.53144,1.02458,1.11117,0.71445,0.47688,0.5065,0.25756,1.64175,1.10193,1.27684,3.98e-05,3.98e-05,3.98e-05
